RECORDING_MBID,RECORDING_TITLE,RECORDING_TITLE_TRANSLITERATED,RECORDING_INTERNET_ARCHIVE_URL,LYRICS,MISC_NOTES
a451a7fc-c53f-462a-b3fc-4377bb588105,بطايحي الماية,bṭāyḥī al-māyah,https://archive.org/details/BrihiOrchestra_RTM1960s_BtayhiMaya,,
b11237b9-d45b-4b3a-a97b-ab7d198f927f,قدام الماية,quddām al-māyah,https://archive.org/details/OrchestraOfTheTetouanConservatory_RTM1960s_QuddamMaya,,
c462ca37-7812-4b9b-9865-275da1f237fe,بطايحي الماية,bṭāyḥī al-māyah,https://archive.org/details/OrchestraOfTheTetouanConservatory_SoireeTanger1970s_BtayhiMaya,,
f7bcb9af-6abb-4192-ae3d-37fa811034ce,قدام الماية,quddām al-māyah,https://archive.org/details/RTMOrchestra_RTM1960s_QuddamMaya,,
f7c00e6e-7b07-47ba-bfdd-146ddbf9adb5,بطايحي الماية,bṭāyḥī al-māyah,https://archive.org/details/OrchestraOfTheTetouanConservatory_RTM1960s_BtayhiMaya,,
0d1d3cff-e68e-403d-bb3f-caca302bf5ab,بطايحي رمل الماية,bṭāyḥī raml al-māyah,https://archive.org/details/RtmOrchestra-Rtm1960s-BtayhiRamlMaya,,
1ffa4dee-b08e-4332-a2ab-9843c13c3dfa,قدام رمل الماية,quddām raml al-māyah,https://archive.org/details/OrchestraOfTheTetouanConservatory_RTM1960s_QouddamRamlMaya,,
2083676f-c26b-4e2e-8324-1b571e729521,قدام رمل الماية,quddām raml al-māyah,https://archive.org/details/OrchestraOfTheTetouanConservatory_Sahra1970s_QuddamRamlMaya,,
2cf367de-583b-4bd6-83f3-fc036fe19fab,بسيط رمل الماية,basīṭ raml al-māyah,https://archive.org/details/OrchestraOfTheTetouanConservatory_RTM1960s_BassitRamlMaya,,
2d91d7e4-904a-46b7-bce2-230ca4e1b1c4,بسيط رمل الماية,basīṭ raml al-māyah,https://archive.org/details/OrchestraOfTheTetouanConservatory_FestivalChefchaouen1987_BassitRamlMaya,,
3a578e21-46bb-47f2-9a4d-7cd738f0dd5b,بطايحي رمل الماية,bṭāyḥī raml al-māyah,https://archive.org/details/OrchestraOfTheTetouanConservatory_SahraOumoumia1970s_BtayhiRamlMaya,,
47a41543-89c7-40ad-a665-f7460ad4e4de,قائم ونصف رمل الماية,qā’im waniṣf raml al-māyah,https://archive.org/details/OrchestraOfTheTetouanConservatory_Wedding1970s_QaimWaNisfRamlMaya,,
ccbfa79b-5ca4-4719-9f6b-04076180642e,قائم ونصف رمل الماية,qā’im waniṣf raml al-māyah,https://archive.org/details/RTMOrchestra_RTM1960s_QaimWaNisfRamlMaya,,
69ac4f1a-eca5-42eb-9f9c-a1c2316cb040,بطايحي رمل الماية,bṭāyḥī raml al-māyah,https://archive.org/details/OrchestraOfTheTetouanConservatory_RTM1960s_BtayhiRamlMaya,,
7a5cc189-4962-42d0-8141-d1374e933e46,قدام رمل الماية,quddām raml al-māyah,https://archive.org/details/BrihiOrchestra_RTM1960s_QuddamRamlMaya,,
8361317d-2b4e-438f-9b73-d1daaa200a3e,بطايحي رمل الماية,bṭāyḥī raml al-māyah,https://archive.org/details/OrchestraOfTheTetouanConservatory_Wedding1970s_BtayhiRamlMaya,,
99004770-1152-4fec-802a-a0014e9b9930,قائم ونصف رمل الماية,qā’im waniṣf raml al-māyah,https://archive.org/details/BrihiOrchestra_RTM1960s_QaimWaNisfRamlMaya,,
b485548d-6b46-48aa-835f-1326f06bb91f,بسيط رمل الماية,basīṭ raml al-māyah,https://archive.org/details/BrihiOrchestra_RTM1960s_BassitRamlMaya,,
d5cc773e-9d31-42e8-b9de-91374fe7153b,قدام رمل الماية,quddām raml al-māyah,https://archive.org/details/RTMOrchestra_RTM1960s_QuddamRamlMaya,,
d7d67d50-9601-4119-8910-169383208a29,بسيط رمل الماية,basīṭ raml al-māyah,https://archive.org/details/RTMOrchestra_RTM1960s_BassitRamlMaya,,
dae13b1f-b7fd-4db3-af3c-11784d51d829,بطايحي رمل الماية,bṭāyḥī raml al-māyah,https://archive.org/details/BrihiOrchestra_RTM1960s_BtayhiRamlMaya,,
3fb6107c-13be-4006-851a-a857ed2f80bb,بسيط غريبة الحسين,basīṭ  ghribat al-husayn,https://archive.org/details/OrchestraOfTheTetouanConservatory_BassitGharibaHussein,,
719a2afc-461f-461e-ad18-8bce2c4f5023,بسيط غريبة الحسين,basīṭ ghribat al-ḥusayn,https://archive.org/details/BrihiOrchestra_RTM1960s_BassitGharibatHusayn,,
cdf77450-2d12-472d-9f6d-c150bba808b8,بسيط غريبة الحسين,basīṭ  ghribat al-ḥusayn,https://archive.org/details/RTMOrchestra_RTM1960s_BassitGharibatHusayn,,
70c04adf-b886-4d62-a88a-abdde5d93715,بسيط غريبة الحسين,basīṭ ghribat al-ḥusayn,https://archive.org/details/OrchestraOfTheTetouanConservatory_BassitGharibatHusayn,,
e0ce0420-165c-4339-8556-6d75a0b733c7,درج غريبة الحسين,darj ghribat al-ḥusayn,https://archive.org/details/BrihiOrchestra_RTM1960s_DarjBtayhiQuddamGharibatHusain,,
db529ac1-4b46-4c7b-bf6a-28f152bf19fb,بطايحي غريبة الحسين,bṭāyḥī ghribat al-ḥusayn,https://archive.org/details/TetouanOrchestra_Studio1970s_BtayhiGharibatHusayn,,
769ff214-27f4-4ac1-8750-a03015d51161,قائم ونصف غريبة الحسين,qā’im wa niṣf ghribat al-ḥusayn,https://archive.org/details/OrchestraOfTheTetouanConservatory_QouddamGharibaHoussayn,,
b8327bca-28eb-402b-9184-7777b980048c,قائم ونصف غريبة الحسين,qā’im waniṣf ghribat al-ḥusayn,https://archive.org/details/BrihiOrchestra_RTM1960s_QaimWaNisfGharibatHusayn,,
6311c0de-d66f-482d-8dd1-8d8917ca6a76,قدام غريبة الحسين,quddām ghribat al-ḥusayn,https://archive.org/details/OrchestraOfTheTetouanConservatory_RTM1960s_QouddamGharibatHusain,,
25857838-1a8a-4102-a818-88bca8be5cf6,قدام غريبة الحسين,quddām ghribat al-ḥusayn,https://archive.org/details/BrihiOrchestra_RTM1960s_QuddamGharibatHusayn,,
13a8d4b9-8dbf-40c0-98df-db64791e43a9,بسيط الحجاز الكبير,basīṭ al-ḥijāz al-kabir,https://archive.org/details/BassitHijazKabir,,
12ce112f-38ed-4700-94ec-a329d06f6196,بطايحي الحجاز الكبير,bṭāyḥī al-ḥijāz al-kabir,https://archive.org/details/BrihiOrchestra_RTM1960s_BtayhiHijazKabir,,
73c4fd81-7464-4771-bd90-e3038dd633ef,بطايحي الحجاز الكبير,bṭāyḥī al-ḥijāz al-kabir,https://archive.org/details/OrchestraOfTheTetouanConservatory_RTM1960s_BtayhiHijazKabir,,
9781e524-92de-43f2-87e3-1e9f05931f0e,درج الحجاز الكبير,darj al-ḥijāz al-kabir,https://archive.org/details/BrihiOrchestra_RTM1960s_DarjHijazKabir,,
4cfc03f4-9378-41d3-acd5-87b09c68d46b,قائم ونصف الحجاز الكبير,qā’im waniṣf al-ḥijāz al-kabir,https://archive.org/details/OrchestraOfTheTetouanConservatory_QaimWaNisfHijazKabir,,
b7b63bb4-1839-45bf-bb4f-389f150c556a,قدام الحجاز الكبير,quddām al-ḥijāz al-kabir,https://archive.org/details/BrihiOrchestra_RTM1960s_QuddamHijazKabir,,
e4e3fc3c-8d57-4123-b14c-236110dde3c0,بسيط الحجاز الكبير,basīṭ al-ḥijāz al-kabir,https://archive.org/details/BrihiOrchestra_RTM1960s_BassitHijazKabir,,
4ddff7dd-8916-4dc4-abdd-56ce12ea88ca,بطايحي الحجاز المشرقي,bṭāyḥī al-ḥijāz al-mshriqi,https://archive.org/details/OrchestraOfTheTetouanConservatory_IrakiWedding_1Btayhi_Msharqi,,
7e3ee6f2-c42f-4da4-9816-45aadcffea88,بطايحي الحجاز المشرقي,bṭāyḥī al-ḥijāz al-mshriqi,https://archive.org/details/BtayhiHijazMcharqi,,
8f32c379-c70a-4e9e-aabb-e0735611ecab,قدام الحجاز المشرقي,quddām al-ḥijāz al-mshriqi,https://archive.org/details/OrchestraOfTheTetouanConservatory_IrakiWedding1970s_2QuddamMsharqi,,
56da9cc8-dbdf-4123-9f05-d866b8380d93,قدام الحجاز المشرقي,quddām al-ḥijāz al-mshriqi,https://archive.org/details/OrchestraOfTheTetouanConservatoryandBrihiOrchestra_RTM1960s_QuddamHijazMsharqi,,
64eb6302-34ec-4434-a004-4e7e503c3e6c,قدام الحجاز المشرقي,quddām al-ḥijāz al-mshriqi,https://archive.org/details/OrchestraOfTheTetouanConservatory_SoireeCinemaEspanol2002_QuddamHijazMsharqi,needs completion,last sanaa missing
224bfb11-f761-4976-bc71-42d9805e5d63 ,بطايحي الحجاز المشرقي,bṭāyḥī al-ḥijāz al-mshriqi,https://archive.org/details/BrihiOrchestra_RTM1960s_BtayhiHijazMsharqi,,
860a5ee6-6f83-42b1-a277-8ebad8d15b37,قدام الحجاز المشرقي,quddām al-ḥijāz al-mshriqi,https://archive.org/details/OrchestraOfTheTetouanConservatory_QuddamMcharqi,,
9c48f778-ccb8-4a08-969c-68e250798035,قدام الحجاز المشرقي, al-ḥijāz al-mshriqi,https://archive.org/details/TetouanOrchestra_Studio1970s_QuddamHijazMsharqi,,
b018d0fd-9955-47bb-9ef2-d291f500eebe,درج الحجاز المشرقي,darj al-ḥijāz al-mshriqi,https://archive.org/details/OrchestraOfTheTetouanConservatory_RTM1960s_DarjMcharqi,,
c8029ba7-5827-4628-b0bd-1adcc1bb8379,بسيط الحجاز المشرقي,basīṭ al-ḥijāz al-mshriqi,https://archive.org/details/OrchestraOfTheTetouanConservatory_BassitHijazMcharqi,,
f8b75f4a-1524-43cb-ad45-622ac277d96e,بسيط الحجاز المشرقي,basīṭ al-ḥijāz al-mshriqi,https://archive.org/details/BrihiOrchestra_RTM1960s_BassitHijazMsharqi,,
02b76946-deec-48cf-9007-770c37b6c3cc,بسيط الرصد,basīṭ al-raṣd,https://archive.org/details/OrchestraOfTheTetouanConservatory_BassitRasd,,
03e555c6-a480-4e11-aef7-231891c4f4e6,بسيط الرصد,basīṭ al-raṣd,https://archive.org/details/BrihiOrchestra_RTM1960s_BassitRasd,,very bad recording
8ddaae6b-3657-41f1-98a1-7faffd6dcb5f,بطايحي الرصد,bṭāyḥī al-raṣd,https://archive.org/details/OrchestraOfTheTetouanConservatory_RTM_BtayhiRasd,,
4bb0c111-8864-488a-a1e9-49f504c36312,بطايحي الرصد,bṭāyḥī al-raṣd,https://archive.org/details/BrihiOrchestra_RTM1960s_BtayhiRasd,,
3b8d2e45-3bfd-4596-bcc0-addc64551eda,بطايحي الرصد,bṭāyḥī al-raṣd,https://archive.org/details/RTMOrchestra_RTM1960s_BtayhiRasd,,
07ee1daa-3bac-4bb8-922e-36729c11fc3a,قدام الرصد ,quddām al-raṣd,https://archive.org/details/OrchestraOfTheTetouanConservatory_QuddamRasd,,
6021ce1e-7117-45de-8e49-71f94b0572af,قدام الرصد,quddām al-raṣd,https://archive.org/details/BrihiOrchestra_RTM1960s_QuddamRasdDayl,not available,
0909c62d-7eb7-4976-b125-c20c12cc15a1,قدام الرصد,quddām al-raṣd,https://archive.org/details/OrchestraOfTheTetouanConservatoryandBrihiOrchestra_RTM1960s_QuddamRasd,,
bb7adfee-f63d-4004-a457-b31ae784a0bd,قدام الرصد,quddām al-raṣd,https://archive.org/details/RTMOrchestra_RTM1960s_QuddamRasd,,
c1e0311e-ee21-470c-b6f9-815d892cf6c9,قدام الرصد,quddām al-raṣd,https://archive.org/details/OrchestraOfTheTetouanConservatory_SoireeCinemaEspanol2002_QuddamRasd,needs completion,
ec15c3e3-f58b-4073-8e1e-82620f488745,  بسيط رصد الذيل,basīṭ rasd althayl,https://archive.org/details/OrchestraOfTheTetouanConservatory_RTM1960s_BassitRasdDayl,,
78593333-603a-4abe-9c9b-6c4db3abc61e,بسيط رصد الذيل,basīṭ rasd althayl,https://archive.org/details/BrihiOrchestra_RTM1960s_BassitRasdDayl,not available,lyrics slightly similar to ec15c3e3-f58b-4073-8e1e-82620f488745
2c44caec-ea8c-474b-9dda-c55c660df969,بسيط رصد الذيل,basīṭ rasd althayl,https://archive.org/details/OrchestraOfTheTetouanConservatory_Festival1982_BassitRasdDayl,,
0fb722f6-35a3-436b-9316-4c2de2b86cc7,بسيط رصد الذيل,basīṭ rasd althayl,https://archive.org/details/RTMOrchestra_RTM1960s_BassitRasdDayl,needs completion,only first sanaa missing. 'ya man rama'
4644f251-c85c-47a4-a1a7-1ca264d3c5d8,بسيط رصد الذيل,basīṭ rasd althayl,https://archive.org/details/TetouanOrchestra_Studio1970s_BassitRasdDayl,,score is missing the mawwal at the beginning
d80d7c9c-3be1-4309-8520-12ac542a6759,بسيط رصد الذيل,basīṭ rasd althayl,https://archive.org/details/BassitRasdDaylLasamir,,
3e39495a-443d-483d-93d7-cdf96248c374,بطايحي رصد الذيل,bṭāyḥī rasd althayl,https://archive.org/details/OrchestraOfTheTetouanConservatory_RTM1960s_BtayhiRasdDayl,,
e79c1615-7172-43a4-acdf-e9475c224edf,بطايحي رصد الذيل,bṭāyḥī rasd althayl,https://archive.org/details/BrihiOrchestra_RTM1960s_BtayhiRasdDayl,,
8a7aa258-312b-4bfb-8b00-a58c925ceae2,بطايحي رصد الذيل,bṭāyḥī rasd althayl,https://archive.org/details/RTMOrchestra_RTM1960s_BtayhiRasdDayl,,
2bf90ba7-210f-4210-b986-dbf57edcf861,  قائم ونصف رصد الذيل,qā’im waniṣf rasd althayl,https://archive.org/details/OrchestraOfTheTetouanConservatory_RTM1960s_QaimWaNisfRasdRayl,,woman singing
ee64a602-ace5-4e1a-96ef-89a7cf41cfb5,قائم ونصف رصد الذيل,qā’im waniṣf rasd althayl,https://archive.org/details/BrihiOrchestra_RTM1960s_QaimWaNisfRasdDayl,,
d66d44e9-f722-4b23-8753-0dea2818f475,قائم ونصف رصد الذيل,qā’im waniṣf rasd althayl,https://archive.org/details/RTMOrchestra_RTM1960s_QaimWaNisfRasdDayl,,
80e8e9d5-c0ee-4d24-9418-f098b7110ca7,  قدام رصد الذيل,quddām rasd althayl,https://archive.org/details/OrchestraOfTheTetouanConservatory_RTM1960s_QuddamRasdDayl,,
c2560f5e-e040-40ca-a390-72ed1ecd0792,قدام رصد الذيل,quddām rasd althayl,https://archive.org/details/BrihiOrchestra_RTM1960s_QuddamRasdDayl,,
b787f4e2-dce1-4bfe-89b3-193cbaa5c90d,قدام رصد الذيل,quddām rasd althayl,https://archive.org/details/RTMOrchestra_RTM1960s_QuddamRasdDayl,,
095b5074-e93e-40a9-93a4-d90b48feda79,قدام رصد الذيل,quddām rasd althayl,https://archive.org/details/TetouanOrchestra_Studio1970s_QuddamRasdDayl,not available,
2d2683c4-4b3e-4430-a254-c828427bdcc7,قدام الاستهلال,quddām al-istihlal ,https://archive.org/details/TetouanOrchestra_Studio1970s_QuddamIstihlal,,
3e5a82a2-d806-45cc-876e-6fa8a2b5a61d, درج الاستهلال,darj al-istihlal,https://archive.org/details/BrihiOrchestra_RTM1960s_DarjIstihlal,,
6fe7108c-4e4f-457b-a363-ccf505bdee9a,بطايحي الاستهلال,bṭāyḥī al-istihlal,https://archive.org/details/OrchestraOfTheTetouanConservatory_BtayhiIstihlal,,
023b4a37-1ab4-4593-b03a-850ee0db8350, قائم ونصف الاستهلال,qā’im waniṣf al-istihlal,https://archive.org/details/OrchestraOfTheTetouanConservatory_Festival1982_QaimWaNisfIstihlal,,
92de6fc8-a040-4500-bd94-73e9ee39f189,قائم ونصف الاستهلال,qā’im waniṣf al-istihlal,https://archive.org/details/OrchestraOfTheTetouanConservatory_RTM1960s_QaimWaNisfIstihlal,,
1630e9c2-3c01-4959-a633-7dbacbc7616e,بطايحي الاستهلال,bṭāyḥī al-istihlal,https://archive.org/details/BrihiOrchestra_RTM1960s_BtayhiIstihlal,,
9727ddbe-eb79-461b-9861-8a60336b17f6,بطايحي الاستهلال,bṭāyḥī al-istihlal,https://archive.org/details/OrchestraOfTheTetouanConservatory_BtayhiIstihlalLasamir,,
679856bc-132f-4982-b04e-cbf6b5b1129b,بسيط الاستهلال,basīṭ al-istihlal,https://archive.org/details/OrchestraOfTheTetouanConservatory_RTM1960s_BassitIstihlal,,
33423585-e406-40ec-ba28-88b0768cb668,بسيط الاستهلال,basīṭ al-istihlal,https://archive.org/details/RTMOrchestra_RTM1960s_BassitIstihlal,,
44183247-4857-40cd-82bc-b4e9e3f458f1, درج الاستهلال,darj al-istihlal,https://archive.org/details/OrchestraOfTheTetouanConservatory_RTM1960s_DarjIstihlal,,
a1eac726-208e-4c24-bd57-e34e9e93dcd3, قدام الاستهلال,quddām al-istihlal ,https://archive.org/details/RTMOrchestra_RTM1960s_QuddamIstihlal,,
c20e4852-d140-4909-acab-e850c0e7d8e8,بسيط الاستهلال,basīṭ al-istihlal,https://archive.org/details/BrihiOrchestra_RTM1960s_BassitIstihlal,,
cb85269e-ab6c-4226-aea1-8226be1fe86c,قائم ونصف الاستهلال,qā’im waniṣf al-istihlal,https://archive.org/details/BrihiOrchestra_RTM1960s_QaimWaNisfIstihlal,,
d4cadf34-1074-44ce-9928-f438198d5d6d,قائم ونصف الاستهلال,qā’im waniṣf al-istihlal,https://archive.org/details/TetouanOrchestra_Studio1970s_QaimWaNisfIstihlal,,
e22549ae-4a0c-43ef-87f4-e0f81ed49d58,قائم ونصف الاستهلال,qā’im waniṣf al-istihlal,https://archive.org/details/RTMOrchestra_RTM1960s_QaimWaNisfIstihlal,,
f461045b-50bc-4b20-a731-66fbd3a264ae,قدام الاستهلال,quddām al-istihlal,https://archive.org/details/OrchestraOfTheTetouanConservatory_QouddamIstihlal,,
9b546274-eea6-459f-a0c2-918f0997fa2b,بطايحي الاستهلال,bṭāyḥī al-istihlal,https://archive.org/details/OrchestraOfTheTetouanConservatory_SoireeAsdiqaeAla2008_BtayhiIstihlal,not available,
97223154-d5c2-4c37-8e6c-4c998056a674,بطايحي الاستهلال,bṭāyḥī al-istihlal,https://archive.org/details/TetouanOrchestra_Studio1970s_BtayhiIstihlal,not available,
2d2683c4-4b3e-4430-a254-c828427bdcc7,قدام الاستهلال,quddām al-istihlal,https://archive.org/details/TetouanOrchestra_Studio1970s_QuddamIstihlal,not available,
